Site,Date,Time,Datetime,StageManual_m,Notes
SFM01,9/3/2021,12:30,9/3/2021 12:30:00,0.155448,From tab 'PT vs Stage'
SFM01,7/23/2021,11:41,7/23/2021 11:41:00,0.82296,From tab 'PT vs Stage'
SFM01,7/20/2022,8:44,7/20/2022 8:44:00,0.51816,From tab 'PT vs Stage'
SFM01,5/26/2022,9:11,5/26/2022 9:11:00,0.54864,From tab 'PT vs Stage'
SFM01,4/24/2023,19:10:00,4/24/2023 19:10:00,0.536448,"From tab 'SF Kings', converted to meters"
SFM01,4/26/2023,15:05:10,4/26/2023 15:05:10,0.542544,"From tab 'SF Kings', converted to meters"
SFM01,5/15/2023,17:45:35,5/15/2023 17:45:35,0.560832,"From tab 'SF Kings', converted to meters"
SFM01,5/10/23,17:41:12,5/10/2023 17:41:12,0.56388,"From tab 'SF Kings', converted to meters"
SFM01,5/19/2023,16:10:47,5/19/2023 16:10:47,0.560832,"From tab 'SF Kings', converted to meters"
SFM01,5/22/2023,16:15:00,5/22/2023 16:15:00,0.554736,"From tab 'SF Kings', converted to meters"
SFM01,5/24/2023,15:15:00,5/24/2023 15:15:00,0.551688,"From tab 'SF Kings', converted to meters"
SFM01,4/26/2023,15:05:10,4/26/2023 15:05:10,0.542544,"From tab 'SF Kings', converted to meters"